company,location,industry,total_laid_off,percentage_laid_off,date,stage,country,funds_raised_millions
97,98,30,0.06643327498541302,0.5,2023-01-30,1,55,0.005159967186218212
696,40,26,0.041427023422522295,0.25791719543147207,2023-01-30,1,56,0.011484823625922888
810,148,14,0.028340418437942817,0.25791719543147207,2023-01-30,1,56,9.844134536505333e-05
663,11,12,0.020588480453446696,0.06,2023-01-30,0,49,0.009844134536505332
463,18,12,0.012753188297074268,0.04,2023-01-30,1,17,0.081214109926169
785,148,12,0.01141952154705343,0.2,2023-01-30,11,56,0.015586546349466776
326,86,26,0.005167958656330749,0.13,2023-01-30,6,17,0.0016817063166529944
134,136,10,0.006418271234475285,0.25,2023-01-30,1,56,0.0012838392124692372
1124,46,26,0.006418271234475285,0.25791719543147207,2023-01-30,8,5,0.0026415094339622643
1165,38,13,0.006418271234475285,0.25791719543147207,2023-01-30,6,56,0.0018375717801476623
1266,92,3,0.006418271234475285,0.33,2023-01-30,5,56,0.001443806398687449
1295,124,15,0.006418271234475285,0.12,2023-01-30,1,56,0.0034864643150123056
1479,148,10,0.006418271234475285,0.25791719543147207,2023-01-30,1,56,0.024610336341263334
751,70,28,0.006418271234475285,0.25791719543147207,2023-01-29,5,15,0.00035274815422477445
997,157,10,0.004751187796949237,0.5,2023-01-28,15,5,0.0012838392124692372
375,148,3,0.0013336667500208387,0.25791719543147207,2023-01-28,4,56,0.0008285479901558655
1381,115,26,0.011252813203300824,0.07,2023-01-27,4,7,0.0012838392124692372
454,17,26,0.008085354672001334,0.06,2023-01-27,8,22,0.0031993437243642334
1372,99,26,0.008085354672001334,0.25791719543147207,2023-01-27,3,56,0.0012838392124692372
1566,148,22,0.008085354672001334,0.25791719543147207,2023-01-27,1,56,0.0012838392124692372
726,18,30,0.0058347920313411685,0.25791719543147207,2023-01-27,15,17,0.0012838392124692372
991,164,3,0.0021672084687838623,0.1,2023-01-27,6,46,0.0008203445447087777
1422,115,3,0.0015003750937734434,0.25,2023-01-27,4,7,0.00036915504511895
2,176,20,0.0013336667500208387,0.17,2023-01-27,5,7,0.00017227235438884334
455,148,15,0.006418271234475285,0.25791719543147207,2023-01-27,4,56,0.00014766201804758
572,42,10,0.006418271234475285,0.25791719543147207,2023-01-27,15,41,0.002239540607054963
